InternalId,EpsgNbr,EsriNbr,OracleNbr,MapInfoNbr,OemNbr,Oracle9Nbr,CsMapNbr,CsMapName,CtmxName,AdskName,EpsgName,EsriName,OracleName,MapInfoName,OemName,GeoToolsName,OcrName,OgcName,GeoTiffName,Oracle9Name,LegacyName,CnvrsnName,CnvrsnComment,MaintenanceComment,Quality,UserFlag,RfcnQualifier
0,0,,,,,,499,,,,,,,,,semi_minor,,,,,,,,,,,
0,0,,,,,,499,,,,,X_Scale,,,,,,,,,,,,,,,
0,0,,,,,,499,,,,,Y_Scale,,,,,,,,,,,,,,,
0,0,,,,,,499,,,,,,,,,,,,,,,,,,,,
0,0,,,,,,499,,,,,Pseudo_Standard_Parallel_2,,,,,,,,,,,,,,,
0,0,,,,,,499,,,,,Option,,,,,,,,,,,,,,,
0,0,,,,,,499,,,,,Height,,,,,,,,,,,,,,,
0,0,,,,,,499,,,,,Central_Parallel,,,,,,,,,,,,,,,
0,8828,,,,,,499,,,,Spherical latitude of origin,,,,,,,,,,,,,,,,
0,8829,,,,,,499,,,,Spherical longitude of origin,,,,,,,,,,,,,,,,
0,8830,,,,,,499,,,,Initial longitude,,,,,,,,,,,,,,,,
0,8831,,,,,,499,,,,Zone width,,,,,,,,,,,,,,,,
0,8826,,,,,, ,,,,Easting of false origin,,,,,,,,FalseOriginEasting,,,,,,,,
0,8815,,,,,,,,,,Scale factor on initial line,,,,,,,,ScaleAtCenter,,,,,,,,
0,8816,,,,,,,,,,Easting at projection center,,,,,,,,,,,,,,,,
0,8817,,,,,,,,,,Northing at projection center,,,,,,,,,,,,,,,,
0,8819,,,,,,,,,,Scale factor on pseudo standard parallel,,,,,,,,,,,,,,,,
0,8821,,,,,,,,,,Latitude of false origin,,,,,,,,FalseOriginLat,,,,,,,,
0,8822,,,,,,,,,,Longitude of false origin,,,,,,,,FalseOriginLong,,,,,,,,
0,8827,,,,,,,,,,Northing of false origin,,,,,,,,FalseOriginNorthing,,,,,,,,
0,8833,,,,,,,,,,Longitude of origin,,,,,,,,,,,,,,,,
