InternalId,EpsgNbr,EsriNbr,OracleNbr,MapInfoNbr,OemNbr,Oracle9Nbr,CsMapNbr,CsMapName,CtmxName,AdskName,EpsgName,EsriName,OracleName,MapInfoName,OemName,GeoToolsName,OcrName,OgcName,GeoTiffName,Oracle9Name,LegacyName,CnvrsnName,CnvrsnComment,MaintenanceComment,Quality,UserFlag,RfcnQualifier
6289,6289,0,0,0,0,0,,Amersfoort,Amersfoort,Amersfoort,Amersfoort,D_Amersfoort,Amersfoort (EPSG ID 6289),,,Amersfoort,,,,,,,,,0,0,0
6291,6291,0,0,0,0,0,,SAD69,,SAD69,,,South American Datum 1969 (EPSG ID 6291),,,,,,,,,,EPSG:6291 has been deprecated by EPSG.,,0,0,0
6292,6292,0,0,0,0,0,,SAPPER,SapperHill43,SAPPER,Sapper Hill 1943,D_Sapper_Hill_1943,Sapper Hill 1943 (EPSG ID 6292),,,Sapper Hill 1943,,,,Sapper Hill 1943,,,,,0,0,0
6293,6293,0,0,0,0,0,,SCHWARZK,Schwarzeck,SCHWARZK,Schwarzeck,D_Schwarzeck,Schwarzeck (EPSG ID 6293),,,Schwarzeck,,,,Schwarzeck,,,,,0,0,0
6294,6294,0,0,0,0,0,,Segora,Segora,Segora_1,Segora,D_Segora,Segora (EPSG ID 6294),,,Segora,,,,,,,,Duplicate names by deprecation by EPSG.  Deprecation ID: 381.  Change was to change the name of the defintiion.,0,0,0
6295,6295,0,0,0,0,0,,Serindung,Serindung,,Serindung,D_Serindung,Serindung (EPSG ID 6295),,,Serindung,,,,,,,Couldn't locate the operation method for this datum.,,0,0,0
6296,6296,0,0,0,0,0,,Sudan,Sudan,,Sudan,D_Sudan,Sudan (EPSG ID 6296),,,Sudan,,,,,,,,,0,0,0
6297,6297,0,0,0,0,0,,Tananarive25,Tananarive25,Tananarive1925,Tananarive 1925,D_Tananarive_1925,Tananarive 1925 (EPSG ID 6297),,,Tananarive 1925,,,,,,,,,0,0,0
6298,6298,0,0,0,0,0,,Timbalai,Timbali48,Timbalai,Timbalai 1948,D_Timbalai_1948,Timbalai 1948 (EPSG ID 6298),,,Timbalai 1948,,,,Timbalai 1948,,,,,0,0,0
6299,6299,0,0,0,0,0,,TM65,TM65,TM1965,TM65,D_TM65,TM65 (EPSG ID 6299),,,TM65,,,,Ireland 1965,,,,,0,0,0
6300,6300,0,0,0,0,0,,TM75,TM75,,Geodetic Datum of 1965,D_TM75,Geodetic Datum of 1965 (EPSG ID 6300),,,TM75,,,,,,,"This datum uses an unsupported transformation method.
",,0,0,0
6301,6301,0,0,0,0,0,,TOKYO,Tokyo,TOKYO,Tokyo,D_Tokyo,Tokyo (EPSG ID 6301),,,Tokyo,,,,Tokyo,,,,,0,0,0
6302,6302,0,0,0,0,0,,Trinidad03,Trinidad03,Trinidad1903,Trinidad 1903,D_Trinidad_1903,Trinidad 1903 (EPSG ID 6302),,,Trinidad 1903,,,,,,,,,0,0,0
6303,6303,0,0,0,0,0,,TrucialCoast48,TrucialCoast48,,Trucial Coast 1948,D_Trucial_Coast_1948,Trucial Coast 1948 (EPSG ID 6303),,,Trucial Coast 1948,,,,,,,Couldn't locate the operation method for this datum.,,0,0,0
6304,6304,0,0,0,0,0,,Voirol1875,Voirol1875,Voirol1875_1,Voirol 1875,D_Voirol_1875,Voirol 1875 (EPSG ID 6304),,,Voirol 1875,,,,,,,,,0,0,0
6306,6306,0,0,0,0,0,,Bern38,Bern1938,,Bern 1938,D_Bern_1938,Bern 1938 (EPSG ID 6306),,,Bern 1938,,,,,,,Couldn't locate the operation method for this datum.,,0,0,0
6307,6307,0,0,0,0,0,,NordSahara59,NordSahara59,NordSahara1959,Nord Sahara 1959,D_Nord_Sahara_1959,Nord Sahara 1959 (EPSG ID 6307),,,Nord Sahara 1959,,,,,,,,,0,0,0
6308,6308,0,0,0,0,0,,RT38,RT38,,Stockholm 1938,D_Stockholm_1938,Stockholm 1938 (EPSG ID 6308),,,Stockholm 1938,,,,,,,Couldn't locate the operation method for this datum.,,0,0,0
6309,6309,0,0,0,0,0,,Yacare,Yacare,Yacare/E,Yacare,D_Yacare,Yacare (EPSG ID 6309),,,Yacare,,,,Yacare,,,,,0,0,0
